cv_method,cv_variant,fold,train_csir,test_csir,train_n,test_n,overfit_ratio,weight_concentration_hhi,max_weight,max_weight_factor,return_col_used,n_draws,dirichlet_alpha,w_ESG_composite,w_financial_score,w_market_score,w_operational_score
leave5out,ex_market,4,0.29607319872181154,-0.3048162106498272,271,5,-0.9713171034695135,0.468833054800871,0.6140750117205658,financial_score,price_momentum_6m,2000,2.0,0.28590303021525654,0.6140750117205658,,0.10002195806417763
leave5out,ex_market,5,0.20537427954317056,-0.5966874826723216,271,5,-0.3441906953666958,0.4238850335119204,0.4664605269127608,financial_score,price_momentum_6m,2000,2.0,0.44560964494368216,0.4664605269127608,,0.08792982814355714
leave5out,ex_market,6,0.29607319872181154,-0.3269757562994973,271,5,-0.9054897591281011,0.5252853531898579,0.682425110528638,financial_score,price_momentum_6m,2000,2.0,0.22644251290673642,0.682425110528638,,0.09113237656462568
leave5out,ex_market,7,0.29607319872181154,-0.2196919870226064,271,5,-1.3476740907537648,0.479717904969655,0.62801452242526,financial_score,price_momentum_6m,2000,2.0,0.27579548604315807,0.62801452242526,,0.09618999153158186
leave5out,ex_market,8,0.18723315444579117,0.5379674865444811,271,5,0.3480380489416552,0.6846587058012286,0.8100651724846936,operational_score,price_momentum_6m,2000,2.0,0.16713216546143708,0.022802662053869334,,0.8100651724846936
leave5out,ex_market,9,0.3752569569574586,1.4638722515093376,271,5,0.25634542668932503,0.8247664508597329,0.9036647730777105,operational_score,price_momentum_6m,2000,2.0,0.09009726159381032,0.006237965328479074,,0.9036647730777105
leave5out,ex_market,10,0.29607319872181154,-0.3769798073031588,271,5,-0.7853821161361417,0.4936078644718682,0.6441162719436352,financial_score,price_momentum_6m,2000,2.0,0.26567862582633867,0.6441162719436352,,0.0902051022300263
leave5out,ex_market,11,0.2354271622574202,-0.26144273596488465,271,5,-0.900492268330188,0.43221300029087295,0.5075425714435293,financial_score,price_momentum_6m,2000,2.0,0.40956330797035123,0.5075425714435293,,0.08289412058611942
leave5out,ex_market,12,0.29607319872181154,0.5134982852622082,271,5,0.576580695908204,0.50099691358303,0.6552757736102863,financial_score,price_momentum_6m,2000,2.0,0.2504427701224134,0.6552757736102863,,0.09428145626730029
leave5out,ex_market,13,0.002339896911428813,0.5496407697122911,271,5,0.004257138552927788,0.4595739873768471,0.5748310666715155,financial_score,price_momentum_6m,2000,2.0,0.3517945978190799,0.5748310666715155,,0.07337433550940449
leave5out,ex_market,14,0.29607319872181154,0.30902237576126096,271,5,0.9580963122707233,0.4813081837040886,0.627999540611449,financial_score,price_momentum_6m,2000,2.0,0.2801612349014501,0.627999540611449,,0.09183922448710068
